id	order	type	page_title	app_question	app_question_with_defect	defect	has_not_applicable_option	defect_order	has_image	has_text	is_prohibitional	show_warning	warning_text	safety_notes	for_hgv	for_non-hgv	created_at	updated_at
1	1	yesno	Trailer Coupling and Security - Safety Clip	Is the safety clip in position?	Is the safety clip in position?	Safety clip missing/defective	0	0	0	0	1	0	\N	Go to service centre / ICL Workshop	1	1		
2	2	yesno	Trailer Coupling and Security - 5th Wheel	Is the 5th wheel coupling engaged correctly?	Is the 5th wheel coupling engaged correctly?	Is there excessive movement	0	0	0	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
3	2	yesno	Trailer Coupling and Security - 5th Wheel	Is the 5th wheel coupling engaged correctly?	Is the 5th wheel coupling engaged correctly?	Not secured	0	0	0	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
4	3	yesno	Trailer Coupling and Security - Landing Legs	Are landing legs free from defects?	Are landing legs free from defects?	Landing legs damaged	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
5	3	yesno	Trailer Coupling and Security - Landing Legs	Are landing legs free from defects?	Are landing legs free from defects?	Landing feet damaged	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
6	3	yesno	Trailer Coupling and Security - Landing Legs	Are landing legs free from defects?	Are landing legs free from defects?	Difficult to raise or lower	0	0	0	0	1	0	\N	Go to service centre / ICL Workshop	1	1		
7	4	yesno	Trailer Coupling and Security - Winding Handle	Is the winding handle secure?	Is the winding handle secure?	No missing	0	0	0	0	1	0	\N	Go to service centre / ICL Workshop	1	1		
8	5	yesno	Trailer Electrical Coupling	Is the electrical coupling free from defects?	Is the electrical coupling free from defects?	Coupling damaged	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
9	6	yesno	Trailer Air Coupling	Is the air coupling free from defects?	Is the air coupling free from defects?	Coupling damaged	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
10	7	yesno	Trailer Brakes	Is the parking brake operating correctly?	Is the parking brake operating correctly?	Parking brake faulty/stuck	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1		
11	8	yesno	Trailer Leaks	Is the trailer free from air leaks?	Is the trailer free from air leaks?	Air leak on brake system	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1		
12	8	yesno	Trailer Leaks	Is the trailer free from air leaks?	Is the trailer free from air leaks?	Air leak on valve operation	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1		
13	8	yesno	Trailer Leaks	Is the trailer free from air leaks?	Is the trailer free from air leaks?	Other air leak	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1		
14	9	media_based_on_selection	Trailer Tanker Washout	Has tank been washed out?	Has tank been washed out?	Please attach an image of the certificate	0	0	0	0	1	0	\N	\N	1	1		
15	10	yesno	Trailer Rear Lights 	Are all the rear lights free from defects?	Are all the rear lights free from defects?	Rear light cracked (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
16	10	yesno	Trailer Rear Lights 	Are all the rear lights free from defects?	Are all the rear lights free from defects?	Rear light damaged (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
17	10	yesno	Trailer Rear Lights 	Are all the rear lights free from defects?	Are all the rear lights free from defects?	Rear light not working (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
18	10	yesno	Trailer Rear Lights 	Are all the rear lights free from defects?	Are all the rear lights free from defects?	Rear light cracked (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
19	10	yesno	Trailer Rear Lights 	Are all the rear lights free from defects?	Are all the rear lights free from defects?	Rear light damaged (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
20	10	yesno	Trailer Rear Lights 	Are all the rear lights free from defects?	Are all the rear lights free from defects?	Rear light not working (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
21	11	yesno	Trailer Brake Lights	Are all the brake lights free from defects?	Are all the brake lights free from defects?	Brake light cracked (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
22	11	yesno	Trailer Brake Lights	Are all the brake lights free from defects?	Are all the brake lights free from defects?	Brake light damaged (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
23	11	yesno	Trailer Brake Lights	Are all the brake lights free from defects?	Are all the brake lights free from defects?	Brake light not working (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
24	11	yesno	Trailer Brake Lights	Are all the brake lights free from defects?	Are all the brake lights free from defects?	Brake light cracked (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
25	11	yesno	Trailer Brake Lights	Are all the brake lights free from defects?	Are all the brake lights free from defects?	Brake light damaged (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
26	11	yesno	Trailer Brake Lights	Are all the brake lights free from defects?	Are all the brake lights free from defects?	Brake light not working (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
27	12	yesno	Trailer Reversing Lights	Are all the reversing lights free from defects?	Are all the reversing lights free from defects?	Reversing light cracked (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
28	12	yesno	Trailer Reversing Lights	Are all the reversing lights free from defects?	Are all the reversing lights free from defects?	Reversing light damaged (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
29	12	yesno	Trailer Reversing Lights	Are all the reversing lights free from defects?	Are all the reversing lights free from defects?	Reversing light not working (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
30	12	yesno	Trailer Reversing Lights	Are all the reversing lights free from defects?	Are all the reversing lights free from defects?	Reversing light cracked (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
